,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
9,Michael Rasmussen,24.0,C,50,10,12,22,13,29,9,0,1,2,9,0,3,68,14.7,762.0,15:14,1.1,1.3,2.3,52,58,46,56,45.1,6-6,220,L/-,4,1900000.0,DET
10,Robby Fabbri,28.0,C,38,13,8,21,-6,10,11,2,0,3,5,3,0,47,27.7,512.0,13:28,1.9,0.3,2.3,19,19,19,20,48.7,6-1,185,L/-,7,4250000.0,DET
11,Joe Veleno,24.0,C,48,9,11,20,-11,6,7,2,0,1,9,1,1,56,16.1,707.0,14:43,0.9,0.3,1.3,22,41,204,219,48.2,6-1,201,L/-,3,,DET
12,Jake Walman,27.0,D,44,10,8,18,5,24,9,1,0,2,4,3,1,73,13.7,882.0,20:03,1.7,2.0,3.7,124,21,0,0,,6-1,218,L/-,4,3500000.0,DET
13,Jeff Petry,36.0,D,41,2,12,14,3,24,2,0,0,0,11,0,1,51,3.9,763.0,18:36,0.6,1.6,2.3,75,53,0,0,,6-3,208,R/-,13,1687500.0,DET
14,Ben Chiarot,32.0,D,45,3,9,12,3,34,3,0,0,0,9,0,0,62,4.8,878.0,19:31,0.4,1.8,2.2,93,84,0,0,,6-3,224,L/-,10,5250000.0,DET
15,Olli Maatta,29.0,D,42,2,10,12,13,6,2,0,0,0,10,0,0,27,7.4,665.0,15:50,0.6,2.2,2.7,52,32,0,0,,6-2,207,L/-,10,3000000.0,DET
16,Christian Fischer,26.0,RW,47,2,7,9,9,28,1,0,1,0,7,0,0,53,3.8,521.0,11:05,-0.4,0.9,0.5,18,52,58,87,40.0,6-2,212,R/-,7,1125000.0,DET
17,Justin Holl,32.0,D,35,0,5,5,7,22,0,0,0,0,5,0,0,12,0.0,531.0,15:10,-0.2,1.5,1.3,34,39,0,0,,6-4,194,R/-,6,3400000.0,DET
18,Klim Kostin,24.0,C,30,3,1,4,1,38,3,0,0,0,1,0,0,21,14.3,260.0,8:39,0.0,0.3,0.3,5,46,4,2,66.7,6-4,232,L/-,4,1800000.0,DET
