,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
12,Mike Reilly,30.0,D,25,3,6,9,-8,16,2,0,1,1,4,2,0,55,5.5,405.0,16:13,0.7,0.2,0.8,23,24,0,0,,6-1,196,L/-,8,1000000.0,NYI
13,Hudson Fasching,28.0,RW,35,3,5,8,-8,6,3,0,0,0,5,0,0,30,10.0,416.0,11:54,-0.1,0.2,0.1,21,21,1,1,50.0,6-3,204,R/-,6,775000.0,NYI
14,Sebastian Aho,27.0,D,39,1,5,6,-13,6,1,0,0,0,3,2,0,36,2.8,633.0,16:14,-0.1,0.2,0.1,53,23,0,0,,5-10,186,L/-,4,850000.0,NYI
15,Oliver Wahlstrom,23.0,RW,22,2,3,5,-8,4,1,1,0,0,2,1,0,31,6.5,244.0,11:07,0.0,0.0,0.0,16,17,4,4,50.0,6-2,204,R/-,4,874125.0,NYI
16,Scott Mayfield,31.0,D,33,0,4,4,-8,27,0,0,0,0,4,0,0,29,0.0,623.0,18:52,-0.4,0.6,0.2,84,40,0,0,,6-5,220,R/-,9,3500000.0,NYI
17,Adam Pelech,29.0,D,25,0,4,4,-1,17,0,0,0,0,3,0,1,26,0.0,489.0,19:33,-0.2,0.9,0.6,42,19,0,0,,6-3,210,L/-,8,5750000.0,NYI
18,Matt Martin,34.0,LW,26,2,1,3,2,18,2,0,0,0,1,0,0,25,8.0,249.0,9:34,-0.2,0.4,0.2,12,72,2,3,40.0,6-3,220,L/-,14,1500000.0,NYI
19,Samuel Bolduc,23.0,D,32,1,2,3,-6,4,1,0,0,0,2,0,0,28,3.6,415.0,12:58,-0.1,0.3,0.2,34,32,0,0,,6-4,220,L/-,1,800000.0,NYI
20,Ilya Sorokin,28.0,G,35,0,1,1,0,0,0,0,0,0,0,1,0,0,,2065.0,58:59,0.0,0.0,7.7,0,0,0,0,,6-3,195,-/L,3,4000000.0,NYI
21,Kyle MacLean,24.0,F,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,33.0,8:18,-0.1,0.0,-0.1,1,7,10,19,34.5,6-1,190,L/-,0,775000.0,NYI
