,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
3,Brayden Schenn,32.0,C,47,12,14,26,-16,28,9,2,1,2,8,6,0,92,13.0,814.0,17:19,1.5,0.4,1.9,28,89,288,290,49.8,6-1,199,L/-,14,8000000.0,STL
4,Brandon Saad,31.0,LW,47,13,8,21,-7,14,10,3,0,3,8,0,0,79,16.5,730.0,15:32,1.3,0.7,1.9,10,5,4,10,28.6,6-1,215,L/-,12,5500000.0,STL
5,Kevin Hayes,31.0,RW,47,10,11,21,-1,8,10,0,0,2,7,4,0,84,11.9,695.0,14:48,1.1,0.8,1.9,13,24,307,233,56.9,6-5,216,L/-,9,3250000.0,STL
6,Torey Krug,32.0,D,47,1,19,20,-13,24,1,0,0,1,13,6,0,101,1.0,1015.0,21:36,0.8,1.2,2.0,62,27,0,0,,5-9,194,L/-,12,8500000.0,STL
7,Jake Neighbours,21.0,LW,47,15,4,19,-9,6,11,4,0,0,2,2,0,84,17.9,696.0,14:48,1.4,0.5,1.9,29,73,4,13,23.5,5-11,201,L/-,2,832500.0,STL
8,Justin Faulk,31.0,D,40,2,17,19,-5,10,1,1,0,1,15,1,1,90,2.2,889.0,22:14,0.9,1.5,2.5,77,46,0,0,,6-0,214,R/-,12,7900000.0,STL
9,Oskar Sundqvist,29.0,C,47,6,12,18,-1,14,2,3,1,0,10,0,2,47,12.8,619.0,13:11,0.6,0.7,1.4,35,43,156,228,40.6,6-3,220,R/-,8,775000.0,STL
10,Colton Parayko,30.0,D,47,8,9,17,5,12,7,0,1,4,8,0,1,93,8.6,1120.0,23:49,1.0,2.7,3.8,124,51,0,0,,6-6,228,R/-,8,8000000.0,STL
11,Nick Leddy,32.0,D,47,2,15,17,9,8,1,0,1,0,14,0,1,47,4.3,1043.0,22:11,0.6,2.9,3.4,66,17,0,0,,6-0,205,L/-,13,4500000.0,STL
12,Alexey Toropchenko,24.0,RW,47,7,4,11,-4,26,5,0,2,1,4,0,0,54,13.0,569.0,12:06,0.2,0.6,0.7,29,66,0,2,0.0,6-6,222,L/-,2,1250000.0,STL
13,Scott Perunovich,25.0,D,30,0,10,10,-5,6,0,0,0,0,5,5,0,23,0.0,435.0,14:30,0.4,0.6,1.0,28,7,0,0,,5-10,175,L/-,1,775000.0,STL
14,Sammy Blais,27.0,LW,37,1,6,7,-8,10,1,0,0,0,6,0,0,24,4.2,367.0,9:55,-0.2,0.2,-0.1,12,105,1,7,12.5,6-2,206,L/-,6,,STL
15,Marco Scandella,33.0,D,42,2,3,5,1,8,1,0,1,1,3,0,0,24,8.3,534.0,12:43,0.0,1.2,1.2,30,43,0,0,,6-3,212,L/-,13,3000000.0,STL
16,Nathan Walker,29.0,C,11,3,1,4,2,0,3,0,0,0,1,0,0,12,25.0,118.0,10:45,0.4,0.2,0.6,12,20,5,1,83.3,5-9,187,L/-,6,775000.0,STL
17,Nikita Alexandrov,23.0,C,15,0,1,1,-2,2,0,0,0,0,1,0,0,6,0.0,120.0,8:01,-0.2,0.1,-0.2,5,17,22,36,37.9,6-1,177,L/-,1,832500.0,STL
18,Jordan Binnington,30.0,G,34,0,1,1,0,0,0,0,0,0,1,0,0,0,,1937.0,56:58,0.0,0.0,6.3,0,0,0,0,,6-2,172,-/L,6,7500000.0,STL
19,Adam Gaudette,27.0,C,2,0,0,0,0,4,0,0,0,0,0,0,0,0,,20.0,9:48,-0.1,0.0,0.0,1,4,0,0,,6-1,194,R/-,5,775000.0,STL
20,Joel Hofer,23.0,G,17,0,0,0,0,2,0,0,0,0,0,0,0,0,,874.0,51:23,0.0,0.0,2.9,0,0,0,0,,6-5,179,-/R,2,775000.0,STL
21,Matthew Kessel,23.0,D,12,0,0,0,1,2,0,0,0,0,0,0,0,8,0.0,205.0,17:04,-0.3,0.5,0.3,24,4,0,0,,6-2,205,R/-,1,832500.0,STL
0,Kirill Kaprizov,26.0,LW,41,18,26,44,3,22,11,7,0,4,12,14,0,133,13.5,859.0,20:58,3.6,1.0,4.6,23,19,0,1,0.0,5-10,202,L/-,3,12500000.0,MIN
1,Joel Eriksson Ek,27.0,C,48,21,18,39,11,38,11,9,1,4,14,4,0,180,11.7,983.0,20:29,3.1,1.5,4.5,38,91,473,495,48.9,6-3,207,L/-,7,6000000.0,MIN
2,Mats Zuccarello,36.0,LW,39,8,29,37,-4,16,5,3,0,1,12,17,0,99,8.1,730.0,18:42,2.3,0.6,2.9,28,9,14,28,33.3,5-8,181,L/-,13,3000000.0,MIN
3,Matt Boldy,22.0,LW,41,16,17,33,3,36,10,6,0,2,11,6,0,110,14.5,739.0,18:01,2.7,0.9,3.6,14,10,18,28,39.1,6-2,201,L/-,2,,MIN
4,Brock Faber,21.0,D,48,4,25,29,4,22,2,2,0,1,18,7,0,74,5.4,1190.0,24:48,1.7,2.6,4.3,97,34,0,0,,6-1,200,R/-,1,832500.0,MIN
5,Marco Rossi,22.0,C,48,13,15,28,2,37,12,1,0,2,13,2,0,89,14.6,802.0,16:42,1.7,0.9,2.7,24,7,196,247,44.2,5-9,182,L/-,2,832500.0,MIN
6,Ryan Hartman,29.0,RW,43,15,10,25,-4,36,11,4,0,0,10,0,0,97,15.5,691.0,16:04,1.9,0.6,2.5,29,30,207,228,47.6,6-0,197,R/-,9,2000000.0,MIN
7,Marcus Johansson,33.0,C,48,8,16,24,-8,12,7,1,0,0,13,3,0,79,10.1,768.0,16:01,1.0,0.5,1.5,18,22,6,25,19.4,6-1,203,L/-,13,2000000.0,MIN
8,Marcus Foligno,32.0,LW,45,8,11,19,11,43,8,0,0,2,10,0,1,47,17.0,665.0,14:47,0.8,1.1,1.9,30,129,5,11,31.3,6-3,226,L/-,12,4100000.0,MIN
9,Pat Maroon,35.0,LW,48,4,12,16,-10,60,4,0,0,0,11,1,0,54,7.4,621.0,12:57,0.2,0.3,0.5,16,52,12,20,37.5,6-3,234,L/-,12,,MIN
10,Jonas Brodin,30.0,D,31,1,11,12,7,4,1,0,0,0,11,0,0,59,1.7,738.0,23:48,0.3,1.9,2.3,80,8,0,0,,6-2,196,L/-,11,8000000.0,MIN
11,Frederick Gaudreau,30.0,C,36,3,7,10,-10,6,2,1,0,1,4,3,0,60,5.0,504.0,14:00,-0.1,0.2,0.0,27,12,180,175,50.7,6-0,184,R/-,6,2950000.0,MIN
12,Alex Goligoski,38.0,D,28,0,9,9,-5,14,0,0,0,0,7,2,0,26,0.0,441.0,15:46,0.3,0.5,0.8,29,21,0,0,,5-11,173,L/-,16,2000000.0,MIN
13,Zach Bogosian,33.0,D,32,1,7,8,-1,37,1,0,0,0,5,0,2,41,2.4,560.0,17:30,0.2,1.0,1.2,41,55,0,0,,6-2,222,R/-,15,1050000.0,MIN
14,Dakota Mermis,30.0,D,32,2,4,6,-3,25,2,0,0,0,4,0,0,31,6.5,474.0,14:49,0.2,0.7,0.9,40,21,0,0,,6-0,195,L/-,6,775000.0,MIN
15,Brandon Duhaime,26.0,RW,48,4,1,5,-8,55,3,0,1,0,1,0,0,53,7.5,490.0,10:12,-0.5,0.2,-0.3,20,92,2,6,25.0,6-2,200,L/-,2,1100000.0,MIN
16,Marc-Andre Fleury,39.0,G,23,0,0,0,0,2,0,0,0,0,0,0,0,0,,1282.0,55:45,0.0,0.0,3.1,0,0,0,0,,6-2,185,-/L,19,3500000.0,MIN
17,Filip Gustavsson,25.0,G,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,1554.0,55:30,0.0,0.0,4.1,0,0,0,0,,6-2,184,-/L,3,4250000.0,MIN
18,Jake Lucchini,28.0,F,7,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,63.0,8:58,-0.2,0.0,-0.1,1,5,5,13,27.8,6-0,180,L/-,1,,MIN
