,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
12,Pius Suter,27.0,F,35,12,6,18,12,8,10,2,0,2,5,1,0,59,20.3,552.0,15:46,1.3,0.9,2.2,10,19,152,155,49.5,5-11,179,L/-,3,1600000.0,VAN
13,Tyler Myers,33.0,D,49,3,15,18,13,53,2,0,1,0,15,0,0,52,5.8,934.0,19:04,0.8,2.3,3.2,93,61,0,0,,6-8,229,R/-,14,1000000.0,VAN
14,Ian Cole,34.0,D,48,1,6,7,10,40,1,0,0,0,6,0,0,38,2.6,918.0,19:08,-0.4,2.1,1.7,99,46,0,0,,6-1,225,L/-,13,1500000.0,VAN
15,Nils Aman,23.0,C,26,2,4,6,1,6,2,0,0,0,4,0,0,18,11.1,280.0,10:46,0.0,0.3,0.2,15,11,49,54,47.6,6-2,179,L/-,1,832500.0,VAN
16,Carson Soucy,29.0,D,21,2,4,6,6,4,1,1,0,0,3,1,0,15,13.3,366.0,17:25,0.3,1.0,1.3,39,21,0,0,,6-5,208,L/-,5,2500000.0,VAN
17,Nikita Zadorov,28.0,D,24,0,4,4,6,39,0,0,0,0,4,0,0,23,0.0,426.0,17:46,-0.2,1.1,0.9,28,46,0,0,,6-6,248,L/-,10,3750000.0,VAN
18,Noah Juulsen,26.0,D,32,0,3,3,-1,14,0,0,0,0,3,0,0,14,0.0,462.0,14:26,-0.3,0.6,0.3,51,77,0,0,,6-1,201,R/-,5,775000.0,VAN
19,Mark Friedman,28.0,D,18,0,1,1,4,19,0,0,0,0,1,0,0,14,0.0,223.0,12:23,-0.2,0.6,0.4,29,21,0,0,,5-11,185,R/-,5,800000.0,VAN
20,Thatcher Demko,28.0,G,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,2089.0,59:41,0.0,0.0,7.9,0,0,0,0,,6-4,192,-/L,6,6000000.0,VAN
21,Casey DeSmith,32.0,G,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,861.0,57:22,0.0,0.0,2.7,0,0,0,0,,6-0,181,-/L,5,1900000.0,VAN
0,Mark Stone,31.0,RW,50,15,34,49,1,22,9,4,2,5,22,10,2,105,14.3,981.0,19:37,3.4,1.2,4.6,33,23,0,4,0.0,6-3,217,R/-,11,6000000.0,VEG
1,Jonathan Marchessault,33.0,C,50,25,15,40,1,24,19,6,0,2,9,6,0,173,14.5,878.0,17:34,3.8,1.1,4.9,16,47,6,13,31.6,5-9,183,R/-,10,3500000.0,VEG
2,William Karlsson,31.0,C,38,15,17,32,10,18,10,4,1,1,10,7,0,93,16.1,670.0,17:38,2.7,1.2,3.8,23,9,288,226,56.0,6-0,190,L/-,9,5600000.0,VEG
3,Ivan Barbashev,28.0,C,50,13,17,30,15,33,10,3,0,2,16,1,0,78,16.7,775.0,15:30,2.0,1.5,3.4,25,81,22,31,41.5,6-1,195,L/-,7,3000000.0,VEG
