,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
0,Blake Coleman,32.0,C,45,20,18,38,24,34,14,2,4,4,16,0,2,106,18.9,759.0,16:52,3.5,1.7,5.2,32,53,19,26,42.2,5-11,199,L/-,7,5900000.0,CGY
1,Nazem Kadri,33.0,C,45,16,21,37,2,25,13,3,0,2,17,4,0,146,11.0,822.0,18:16,2.8,1.0,3.8,12,30,288,302,48.8,6-0,185,L/-,14,4500000.0,CGY
2,Yegor Sharangovich,25.0,C,45,19,13,32,-11,4,13,3,3,2,7,3,3,99,19.2,764.0,16:59,2.8,0.4,3.2,19,5,28,51,35.4,6-2,196,L/-,3,3100000.0,CGY
3,Elias Lindholm,29.0,C,45,8,22,30,-6,21,5,2,1,2,15,6,1,121,6.6,933.0,20:44,1.1,0.8,1.9,37,40,503,399,55.8,6-1,202,R/-,10,4850000.0,CGY
4,Andrew Mangiapane,27.0,LW,44,9,17,26,8,41,7,2,0,0,17,0,0,71,12.7,687.0,15:36,1.5,1.0,2.5,18,40,0,2,0.0,5-10,184,L/-,6,5800000.0,CGY
5,MacKenzie Weegar,30.0,D,45,9,17,26,8,30,8,1,0,1,10,5,2,106,8.5,997.0,22:09,2.1,2.6,4.7,115,75,0,0,,6-0,206,R/-,7,4250000.0,CGY
6,Rasmus Andersson,27.0,D,41,7,19,26,3,33,6,0,1,3,14,5,0,96,7.3,995.0,24:17,1.9,2.2,4.1,107,19,0,0,,6-1,202,R/-,7,4550000.0,CGY
7,Mikael Backlund,34.0,C,45,10,15,25,11,14,8,1,1,2,13,1,1,124,8.1,863.0,19:11,1.0,1.3,2.3,21,33,403,375,51.8,6-0,206,L/-,15,5350000.0,CGY
8,Jonathan Huberdeau,30.0,LW,44,6,19,25,-12,10,5,1,0,1,14,5,0,72,8.3,761.0,17:18,0.9,0.4,1.3,22,25,4,4,50.0,6-1,200,L/-,11,3500000.0,CGY
9,Noah Hanifin,27.0,D,45,7,17,24,13,22,6,1,0,1,13,3,1,82,8.5,1051.0,23:21,1.7,3.0,4.7,66,28,0,0,,6-3,207,L/-,8,4950000.0,CGY
10,Connor Zary,22.0,C,35,9,13,22,14,10,8,1,0,1,11,2,0,40,22.5,541.0,15:27,1.5,1.1,2.6,15,7,5,13,27.8,6-0,178,L/-,0,832500.0,CGY
11,Martin Pospisil,24.0,C,33,4,7,11,9,22,4,0,0,0,7,0,0,60,6.7,387.0,11:44,0.4,0.7,1.1,13,85,10,12,45.5,6-2,173,L/-,0,775000.0,CGY
12,A.J. Greer,27.0,LW,44,6,4,10,-7,31,5,1,0,0,4,0,0,47,12.8,390.0,8:52,0.5,0.2,0.6,17,73,3,3,50.0,6-3,208,L/-,6,,CGY
13,Adam Ruzicka,24.0,C,38,3,6,9,-8,4,3,0,0,1,2,4,0,34,8.8,390.0,10:16,0.1,0.1,0.2,15,7,75,79,48.7,6-4,215,L/-,3,775000.0,CGY
14,Chris Tanev,34.0,D,42,1,7,8,8,10,1,0,0,0,7,0,0,33,3.0,812.0,19:20,-0.1,2.2,2.0,124,16,0,0,,6-2,193,R/-,13,4500000.0,CGY
