,Player,Pos,Age,Ht,Wt,S/C,Exp,Salary,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Team
18,Ryan Suter,D,39,6-1,205,L/-,18,4300000.0,43,1,7,8,4,10,1,0,0,1,7,0,0,57,1.8,848.0,19:43,-0.2,1.7,1.5,59,28,0,0,,DAL
19,Scott Wedgewood,G,31,6-2,205,-/L,5,1000000.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,1167.0,58:22,0.0,0.0,2.9,0,0,0,0,,DAL
0,Tyson Barrie,D,32,5-11,197,R/-,12,3750000.0,30,1,10,11,-8,12,1,0,0,0,7,3,0,39,2.6,544.0,18:08,0.5,0.5,1.0,32,6,0,0,,NSH
1,Alexandre Carrier,D,27,5-11,174,R/-,5,2500000.0,40,3,10,13,1,24,2,0,1,2,9,1,0,32,9.4,731.0,18:17,0.7,1.6,2.2,86,38,0,0,,NSH
2,Luke Evangelista,F,21,6-0,183,R/-,1,775000.0,43,9,12,21,0,14,8,1,0,0,9,3,0,79,11.4,589.0,13:41,1.3,0.6,2.0,17,17,1,3,25.0,NSH
3,Dante Fabbro,D,25,6-0,189,R/-,5,2500000.0,35,2,7,9,1,16,2,0,0,0,7,0,0,39,5.1,597.0,17:03,0.3,1.3,1.6,58,24,0,0,,NSH
4,Filip Forsberg,F,29,6-1,205,R/-,11,10000000.0,44,22,26,48,7,28,19,3,0,6,13,13,0,171,12.9,827.0,18:48,4.6,1.2,5.8,20,71,9,5,64.3,NSH
5,Cody Glass,F,24,6-3,206,R/-,4,2500000.0,17,1,1,2,-10,12,1,0,0,0,1,0,0,29,3.4,226.0,13:16,-0.3,-0.1,-0.4,5,13,59,66,47.2,NSH
6,Denis Gurianov,F,26,6-3,205,L/-,6,850000.0,5,1,1,2,4,0,1,0,0,0,1,0,0,12,8.3,66.0,13:15,0.1,0.2,0.3,4,7,0,0,,NSH
7,Kevin Lankinen,G,28,6-2,185,-/L,3,2000000.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,653.0,50:15,0.0,0.0,1.7,0,0,0,0,,NSH
8,Jeremy Lauzon,D,26,6-1,204,L/-,5,2000000.0,44,4,3,7,-1,56,4,0,0,0,3,0,0,56,7.1,782.0,17:46,0.1,1.6,1.7,62,174,0,0,,NSH
9,Michael McCarron,F,28,6-6,232,R/-,6,775000.0,34,6,5,11,0,52,6,0,0,0,5,0,0,38,15.8,412.0,12:08,0.5,0.5,1.0,26,60,137,144,48.8,NSH
10,Ryan McDonagh,D,34,6-1,215,L/-,13,8400000.0,37,1,10,11,6,12,1,0,0,0,7,3,0,45,2.2,798.0,21:34,0.2,2.1,2.3,63,17,0,0,,NSH
11,Gustav Nyquist,F,34,5-11,180,L/-,11,3185000.0,44,11,23,34,4,6,7,3,1,2,13,9,1,88,12.5,767.0,17:26,2.3,1.0,3.3,22,16,10,10,50.0,NSH
