,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Team,specific_pos,Cap%,Salary
63,Brendan Lemieux,27.0,LW,17.0,2.0,1.0,3.0,0.0,38.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,18.2,125.0,7:22,0.1,0.2,0.3,1.0,23.0,0.0,7.0,0.0,6-1,215.0,L/-,6.0,CAR,"LW, RW",1.0,800000.0
64,Pyotr Kochetkov,24.0,G,23.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1256.0,54:37,0.0,0.0,2.9,0.0,0.0,0.0,0.0,,6-3,205.0,-/L,2.0,CAR,,,
65,Yaniv Perets,23.0,G,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,12:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6-1,181.0,-/L,0.0,CAR,,,
66,Antti Raanta,34.0,G,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,981.0,54:29,0.0,0.0,0.9,0.0,0.0,0.0,0.0,,6-0,195.0,-/L,10.0,CAR,,,
67,Sidney Crosby,36.0,C,42.0,26.0,20.0,46.0,19.0,24.0,20.0,6.0,0.0,3.0,16.0,4.0,0.0,152.0,17.1,848.0,20:11,4.7,1.6,6.3,19.0,44.0,575.0,390.0,59.6,5-11,200.0,L/-,18.0,PIT,C,10.4,8700000.0
68,Jake Guentzel,29.0,C,42.0,19.0,27.0,46.0,12.0,14.0,16.0,3.0,0.0,2.0,20.0,7.0,0.0,157.0,12.1,880.0,20:57,3.9,1.4,5.3,16.0,27.0,4.0,12.0,25.0,5-11,180.0,L/-,7.0,PIT,"LW, RW",7.2,6000000.0
69,Evgeni Malkin,37.0,C,42.0,15.0,21.0,36.0,1.0,38.0,12.0,3.0,0.0,2.0,12.0,9.0,0.0,114.0,13.2,797.0,18:59,2.8,0.9,3.7,21.0,9.0,207.0,209.0,49.8,6-3,195.0,L/-,17.0,PIT,C,7.3,6100000.0
70,Erik Karlsson,33.0,D,42.0,7.0,24.0,31.0,10.0,24.0,5.0,2.0,0.0,2.0,17.0,7.0,0.0,102.0,6.9,1025.0,24:24,2.4,2.9,5.3,44.0,17.0,0.0,0.0,,6-0,190.0,R/-,14.0,PIT,RD,12.0,10000000.0
71,Kris Letang,36.0,D,42.0,3.0,26.0,29.0,15.0,40.0,3.0,0.0,0.0,0.0,24.0,2.0,0.0,87.0,3.4,1039.0,24:45,1.8,3.3,5.1,71.0,62.0,0.0,0.0,,6-0,201.0,R/-,17.0,PIT,RD,7.3,6100000.0
72,Bryan Rust,31.0,RW,29.0,11.0,14.0,25.0,14.0,6.0,11.0,0.0,0.0,1.0,14.0,0.0,0.0,87.0,12.6,540.0,18:37,2.0,1.1,3.1,20.0,21.0,1.0,2.0,33.3,5-11,192.0,R/-,9.0,PIT,"RW, LW",6.1,5125000.0
